BioCycID	Metabolites	B_thuringiensis_70323_A	B_thuringiensis_70323_B	B_thuringiensis_70323_C	B_thuringiensis_70323_D	B_toyonensis_70323_A	B_toyonensis_70323_B	B_toyonensis_70323_C	B_toyonensis_70323_D	B4UZN_Ctrl_70323_A	B4UZN_Ctrl_70323_B	B4UZN_Ctrl_70323_C	B4UZN_Ctrl_70323_D	B4UZN_Ctrl_70323_E	C_flaccumfaciens_70323_A	C_flaccumfaciens_70323_B	C_flaccumfaciens_70323_C	C_flaccumfaciens_70323_D	Microbacterium_70323_A	Microbacterium_70323_B	Microbacterium_70323_C	Microbacterium_70323_D_and_E	R_qingshengii_70323_A	R_qingshengii_70323_C	R_qingshengii_70323_D	Shared_metab_70323_A	Shared_metab_70323_B	Shared_metab_70323_C	Shared_metab_70323_D	Shared_metab_70323_E
D-ERYTHRULOSE	L-(+)-Threose_HILNeg	23.03935442	23.82549042	23.12501981	23.66699329	23.26754801	23.44156652	23.34413911	23.26490853	22.3333867	22.59746288	27.6717892	22.47352137	22.77467343	23.30824334	23.07024871	23.89225337	23.20974773	23.21205657	22.98562642	23.10790393	23.12971044	22.96367036	22.7148169	22.97438574	22.70605694	22.9314407	22.80007967	23.21311463	22.874534
 ERYTHRULOSE	L-(+)-Threose_HILNeg	23.03935442	23.82549042	23.12501981	23.66699329	23.26754801	23.44156652	23.34413911	23.26490853	22.3333867	22.59746288	27.6717892	22.47352137	22.77467343	23.30824334	23.07024871	23.89225337	23.20974773	23.21205657	22.98562642	23.10790393	23.12971044	22.96367036	22.7148169	22.97438574	22.70605694	22.9314407	22.80007967	23.21311463	22.874534
 ERYTHROSE	L-(+)-Threose_HILNeg	23.03935442	23.82549042	23.12501981	23.66699329	23.26754801	23.44156652	23.34413911	23.26490853	22.3333867	22.59746288	27.6717892	22.47352137	22.77467343	23.30824334	23.07024871	23.89225337	23.20974773	23.21205657	22.98562642	23.10790393	23.12971044	22.96367036	22.7148169	22.97438574	22.70605694	22.9314407	22.80007967	23.21311463	22.874534
 CPD-25830	L-(+)-Threose_HILNeg	23.03935442	23.82549042	23.12501981	23.66699329	23.26754801	23.44156652	23.34413911	23.26490853	22.3333867	22.59746288	27.6717892	22.47352137	22.77467343	23.30824334	23.07024871	23.89225337	23.20974773	23.21205657	22.98562642	23.10790393	23.12971044	22.96367036	22.7148169	22.97438574	22.70605694	22.9314407	22.80007967	23.21311463	22.874534
 THREOSE	L-(+)-Threose_HILNeg	23.03935442	23.82549042	23.12501981	23.66699329	23.26754801	23.44156652	23.34413911	23.26490853	22.3333867	22.59746288	27.6717892	22.47352137	22.77467343	23.30824334	23.07024871	23.89225337	23.20974773	23.21205657	22.98562642	23.10790393	23.12971044	22.96367036	22.7148169	22.97438574	22.70605694	22.9314407	22.80007967	23.21311463	22.874534
CPD0-2276	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-19042	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-24435	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD-4748	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
 CPD0-1942	L-3-Aminoisobutyric acid_HILNeg	25.26890272	24.99992562	25.40699913	24.940932	25.22813153	24.78704498	25.13766412	25.32431475	27.25327131	27.69093118	27.045572	27.05034996	27.29832092	25.2737329	25.26363578	25.70546341	25.15686618	24.21724675	24.42190921	24.33533368	24.10897775	25.09518812	25.18302504	25.11630121	25.03446882	24.8700128	25.03902707	25.1350597	25.08011686
